DESCRIPCION_VIGIFLOW,DESCRIPCION_DHIS2,DESCRIPCION_HOMOLOGADA
GUAYAS (09),GUAYAS (09),GUAYAS
PICHINCHA (17),PICHINCHA (17),PICHINCHA
CARCHI (04),CARCHI (04),CARCHI
IMBABURA (10),IMBABURA (10),IMBABURA
COTOPAXI (05),COTOPAXI (05),COTOPAXI
EL ORO (07),EL ORO (07),EL ORO
LOJA (11),LOJA (11),LOJA
SANTO DOMINGO DE LOS TSACHILAS (23),SANTO DOMINGO DE LOS TSACHILAS (23),SANTO DOMINGO DE LOS TSACHILAS
MANABI (13),MANABI (13),MANABI
BOLIVAR (02),BOLIVAR (02),BOLIVAR
CAÑAR (03),CAÑAR (03),CAÑAR
AZUAY (01),AZUAY (01),AZUAY
ZAMORA CHINCHIPE (19),ZAMORA CHINCHIPE (19),ZAMORA CHINCHIPE
ESMERALDAS (08),ESMERALDAS (08),ESMERALDAS
SUCUMBIOS (21),SUCUMBIOS (21),SUCUMBIOS
PASTAZA (16),PASTAZA (16),PASTAZA
GALAPAGOS (20),GALAPAGOS (20),GALAPAGOS
LOS RIOS (12),LOS RIOS (12),LOS RIOS
TUNGURAHUA (18),TUNGURAHUA (18),TUNGURAHUA
CHIMBORAZO (06),CHIMBORAZO (06),CHIMBORAZO
ORELLANA (22),ORELLANA (22),ORELLANA
SANTA ELENA (24),SANTA ELENA (24),SANTA ELENA
NAPO (15),NAPO (15),NAPO
MORONA SANTIAGO (14),MORONA SANTIAGO (14),MORONA SANTIAGO
